Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2022-03-21,3162.1005859375,3238.173401399915,3151.89946013329,3222.52293351387,2413831
2022-03-22,3226.8388671875,3235.6014520923454,3160.6185027848965,3173.6969241757306,2907611
2022-03-23,3236.822021484375,3251.993118025489,3217.291664008723,3232.985769686814,1596195
2022-03-24,3269.474609375,3276.7548028095052,3221.6510972508927,3226.010570995481,1879046
2022-03-25,3232.505615234375,3295.3256641850585,3201.596994017075,3278.2364447573104,1690133
2022-03-28,3232.724853515625,3237.3459393092885,3192.181738466371,3221.651830257964,1760990
2022-03-29,3230.675048828125,3245.1920101542364,3218.163274981001,3221.4328800422795,2689063
2022-03-30,3253.5185546875,3259.1422326604416,3231.4159399540727,3259.1422326604416,1583455
2022-03-31,3260.8427734375,3273.6595838693274,3243.622851883413,3260.8864107485983,2168110
2022-04-01,3277.234130859375,3280.9396832520993,3250.4670067366783,3267.861263042484,1387014
2022-04-04,3287.348388671875,3295.7620876915726,3258.3578888264396,3280.067982512089,1472994
2022-04-05,3326.103515625,3344.23896562156,3288.7863846996506,3288.7863846996506,2314947
2022-04-06,3274.27001953125,3321.308698504881,3253.1699963861447,3321.308698504881,2051729
2022-04-07,3212.19091796875,3265.681745359496,3207.7007452082726,3265.681745359496,2494829
2022-04-08,3213.498779296875,3230.370027745647,3175.8766062249715,3217.291606580685,2296773
2022-04-11,3222.871337890625,3236.7782280173724,3187.734153364789,3217.2912972094496,2291660
2022-04-12,3218.250732421875,3260.0144049645387,3180.9772326058187,3211.1882999423365,4483476
2022-04-13,3192.83447265625,3234.598352823879,3187.254432214075,3232.1133680019534,1621672
2022-04-18,3076.08837890625,3147.5401125729736,3071.2493203707204,3147.5401125729736,3820792
2022-04-19,3027.130615234375,3107.0398787837876,2998.576068606461,3095.22566501056,3170014
2022-04-20,3101.155029296875,3111.922800837386,3034.193475539571,3051.631369077155,2640370
2022-04-21,3163.800537109375,3177.184205558116,3110.3969880999252,3121.3829461849764,2280996
2022-04-22,3149.763671875,3153.6435612476985,3113.972346971566,3122.3426223823985,1581465
2022-04-25,3093.656982421875,3124.870857781857,3080.49149910498,3102.201593746609,1960694
2022-04-26,3092.000732421875,3128.271430266932,3067.456764808014,3117.1547709894953,1943469
2022-04-27,3104.9912109375,3111.3124472027903,3057.1242793987144,3091.7384547198044,1727648
2022-04-28,3125.13232421875,3142.65728057788,3084.8071929445496,3128.358292147701,1703660
2022-04-29,3092.3486328125,3159.0922091212788,3083.7605984504776,3136.2049751491727,2051115
2022-05-02,3088.599365234375,3093.438422867655,3045.30988321926,3068.9817366115326,1324161
2022-05-04,3033.97509765625,3091.2585277224043,3021.3762638268604,3085.198903098395,2305825
2022-05-05,3063.31494140625,3080.4041637186206,3038.8584638656703,3062.18164851879,1612262
2022-05-06,2992.865966796875,3029.398271221834,2985.803534263684,3015.8839027648073,2010812
2022-05-09,3003.7646484375,3013.2682159401834,2918.1009903888535,2962.6983211124834,2481830
2022-05-10,2998.228271484375,3020.941173809357,2983.6240334480644,2994.08677114572,1622685
2022-05-11,2974.9052734375,3006.6857986302757,2948.879126623255,2994.958855292442,1841769
2022-05-12,2971.984130859375,3007.7754550444442,2920.934860508519,2945.2606403315326,2807195
2022-05-13,2977.432861328125,2999.2302268913486,2948.878312440302,2994.958028386916,2187823
2022-05-16,2944.21435546875,2990.599115503573,2935.3210712259547,2977.5206937156568,1195813
2022-05-17,3009.431640625,3022.858733006671,2921.1957322943476,2938.284952475478,1754076
2022-05-18,3006.990478515625,3047.271971010071,3001.977083999657,3021.1151300571946,1866781
2022-05-19,2844.07666015625,2968.8012301822614,2816.2196691596782,2961.8260731069436,4642963
2022-05-20,2871.149169921875,2889.3716835160767,2851.139229667737,2885.9713794234453,3065125
2022-05-23,2896.21630859375,2911.1692180116047,2848.4800723039907,2881.437735548261,2293690
2022-05-24,2866.7900390625,2898.9194468786245,2855.978628927339,2890.4618972135286,1711510
2022-05-25,2780.461181640625,2890.357885421766,2768.523667729061,2890.357885421766,3548046
2022-05-26,2832.5126953125,2845.284259373515,2791.7843560328024,2800.956986475671,2813186
2022-05-27,2862.66455078125,2878.113137542295,2834.488114923966,2855.554544933507,3103153
2022-05-30,2962.68603515625,2972.64878630767,2884.652556391541,2894.0006985882987,2094624
2022-05-31,2953.1181640625,2969.83946910257,2918.5779156420817,2944.1647611228614,4840965
2022-06-01,2945.086669921875,2973.8774984812158,2931.7885726124696,2973.8774984812158,1493835
2022-06-02,3004.599609375,3012.4995207055213,2937.274852340207,2944.911390433282,2657939
2022-06-03,3019.65234375,3052.2615410485746,3011.7963660165333,3036.5493712828948,1913622
2022-06-06,3011.578125,3030.932952569922,2964.3541629834826,3000.211072077612,1084210
2022-06-07,2951.669921875,3000.9567154912565,2945.7889201087964,2985.3324048192408,2308256
2022-06-08,2988.0537109375,2996.6558797926627,2937.450473837152,2966.9872799283585,2185707
2022-06-09,3008.198486328125,3016.888302906763,2943.243661069149,2971.2443716436987,1279197
2022-06-10,2949.212158203125,2978.2663601980794,2942.2778778025236,2968.610913701711,1527582
2022-06-13,2826.06103515625,2890.4891000419943,2802.229512994808,2887.8557968837417,3030921
2022-06-14,2818.117919921875,2843.0025125943066,2786.649853360226,2800.07974578441,2611493
2022-06-15,2814.38720703125,2838.70133453844,2809.734994390088,2825.095932347547,1404536
2022-06-16,2757.946533203125,2848.225040609445,2750.090553952072,2843.967780896921,2032028
2022-06-17,2711.336669921875,2737.5381225214655,2654.2380502201972,2714.0578356188767,5240434
2022-06-20,2731.965087890625,2755.094360836937,2693.8700417072273,2715.814242112141,1502769
2022-06-21,2819.34619140625,2841.992643096797,2743.3753468292443,2747.413164355795,2964461
2022-06-22,2829.001953125,2853.2284323936533,2793.9351690902718,2808.769360580185,3336315
2022-06-23,2904.3583984375,2912.433820057707,2829.0019403695915,2829.0019403695915,3692578
2022-06-24,2890.5771484375,2936.1332102856513,2876.883885414416,2930.8666036304303,2132118
2022-06-27,2909.537109375,2951.845477755388,2902.3394557167258,2940.5223579770245,2037686
2022-06-28,2912.565673828125,2922.9673098846292,2872.5835146469863,2902.7786467833243,1400046
2022-06-29,2888.294677734375,2925.5998057707557,2871.1782072235646,2871.1782072235646,2133994
2022-06-30,2867.75537109375,2906.20143071572,2857.134294601676,2872.0563477532055,2719603
2022-07-01,2909.888427734375,2925.600387299179,2854.5451192222854,2861.5233311117086,1502879
2022-07-04,2839.622802734375,2912.3896686210524,2830.8451246154136,2907.166993000027,2622535
2022-07-05,2823.164794921875,2872.0564215860604,2814.9575797580337,2857.134368050925,2170627
2022-07-06,2862.181396484375,2868.9840970357063,2810.8319794194863,2825.095706381955,2182144
2022-07-07,2885.96923828125,2913.66264372781,2865.956087561214,2871.1787636386753,1989921
2022-07-08,2866.307373046875,2901.0231390991876,2852.7459007783236,2896.6342992518366,2136916
2022-07-11,2733.193359375,2830.8010937637823,2726.3467278233516,2814.255085372196,6974600
2022-07-12,2707.650390625,2752.8554340083,2703.7443666293075,2734.158936312343,3734815
2022-07-13,2667.3173828125,2729.8583498303165,2664.025752969457,2724.591742081448,3863530
2022-07-14,2639.154296875,2690.419236530846,2611.21160444456,2689.539151729887,4764908
2022-07-15,2635.501708984375,2665.688442078549,2598.8900997906226,2656.579694419883,4574806
2022-07-18,2696.1396484375,2707.9767454259254,2652.8395214403786,2660.496215840236,3202795
2022-07-19,2705.600830078125,2709.7371858696033,2666.701122969062,2666.701122969062,1865074
2022-07-20,2785.29248046875,2791.5850009840688,2726.54681875147,2735.1276457438817,3402251
2022-07-21,2796.29345703125,2802.189982174116,2767.03063765082,2787.228540686377,2420640
2022-07-22,2790.748779296875,2813.630983100634,2766.5464483505916,2803.0699659604375,2075886
2022-07-25,2787.00830078125,2804.3459268777215,2771.474891342548,2785.4681525136675,1797504
2022-07-26,2742.256591796875,2788.9010938413444,2725.1830298245063,2785.204780048454,2639367
2022-07-27,2806.458984375,2811.0794303717553,2737.064199982697,2741.4646247415117,1389808
2022-07-28,2869.516357421875,2872.5966540791287,2817.7232833962703,2830.3525856367887,2106333
2022-07-29,2905.951904296875,2919.5053390848148,2882.2777092112715,2895.4789811618575,2430257
2022-08-01,2903.22314453125,2928.0414874756557,2878.7567494838804,2928.0414874756557,1306913
2022-08-02,2897.063232421875,2915.632893070421,2879.329394508913,2895.4790367844817,1269114
2022-08-03,2939.043212890625,2947.4040185568806,2884.0819596679717,2886.678166875655,2895824
2022-08-04,2952.640380859375,2981.6391313007757,2910.7484743753057,2948.284004184291,2150567
2022-08-05,2961.529541015625,2972.0465119063037,2952.684645379227,2958.141128427601,1106933
2022-08-08,2969.802001953125,2973.7183361972407,2935.9627856015595,2961.485243869679,1068836
2022-08-10,2952.02490234375,2979.0875141786073,2935.0832672926604,2979.0875141786073,1878359
2022-08-11,3012.09033203125,3017.5468150068145,2970.3303498018386,2992.2884233473337,1449248
2022-08-12,2993.652587890625,3009.0100251572753,2975.7868229198702,3009.0100251572753,1472354
2022-08-16,2985.86376953125,3005.3577774981677,2981.2873713731783,3001.969364945804,839942
2022-08-17,2993.256591796875,3008.0858922168222,2966.854046980335,2979.1752345613872,1622326
2022-08-18,2975.786376953125,2985.247287430684,2958.844746563078,2983.4871180395103,1430659
2022-08-19,2979.7470703125,3011.2101014765467,2966.98584088932,2980.8471762972567,1398410
2022-08-22,2952.288818359375,2978.2953698990436,2945.996082460912,2961.4856625107705,1536532
2022-08-23,2890.726318359375,2941.1550002452464,2877.876995674506,2921.8371838740786,1849256
2022-08-24,2864.984130859375,2911.3205094918117,2860.4515652345717,2897.239152734898,1691923
2022-08-25,2832.28857421875,2885.0496096749976,2829.2523249384167,2883.157513491952,1946930
2022-08-26,2835.809326171875,2866.4363215518924,2831.05695398552,2846.4584386730107,1457962
2022-08-29,2756.91015625,2765.8429325569255,2711.541734052689,2750.265471896999,2539173
2022-08-30,2826.084228515625,2839.5936161841482,2765.314544774919,2776.6675527850575,3431525
2022-09-01,2756.16162109375,2807.4706096920486,2746.7447563789606,2807.4706096920486,3546935
2022-09-02,2755.017333984375,2783.708184014529,2746.1286065456165,2783.708184014529,2052900
2022-09-05,2757.65771484375,2770.462992067452,2739.0440066723772,2749.076887768465,2147912
2022-09-06,2752.069091796875,2764.214304458055,2733.851380237327,2759.505765046165,1936453
